id,taxon,date,locality,coordinates,elevation,substrate
1692210,Byssoloma leucoblepharum (Ny1.) Vain em. R. Sant.,15/3/75,"Central Waianae Mts., Waianae Dist., Waianae Kai Forest Reserve. Honua Stream.","48.69N, 113.71W",500m,on heavily shaded lower leaves of Tristania conferta R. Br. at the beginning of the trail by the rain gauge.
3224559,Coccocarpia palmicola (Sprengel) Arvidsson & Galloway,March 14 1997,"Greenville County: Caesars Head State Park, along Coldspring Branch Trail to El Lieutenant","35°07'N, 82°37' W",825-915 m,N-facing granitic slope.
3195555,Coccocarpia parmelioides (Hook.) Trev.,"June 10, 1965",CALHOUN COUNTY: Near Junct. 20 and 231.,,,Turkey oak. Trunk of oak.
954335,"Strigula clogans (Tee) tunt, arg-",24 Jane 3975|,in messe hardwood formst,,,Leavos of sagaolia grand flon
805174,Byssoloma leucoblepharum (Nyl.) Vain.,23 May 2020,"Hahn woods, Emory University, DeKalb County, Georgia, United States of America.","33.8014000°N, 84.3233000°W.",,Mimosa bark
1554650,COCCOCARPIA PALMICOLA (Spreng.) Arv. &D. Gall.,16 January 1989,about 24 km. west-northwest of Nogales and 5.5 km north of the Mexican border in Sycamore Canyon in the Tumacacori Mountains;,,1280 m.,On rock on the N facing canyon wall.
1524548,Byssoloma tricholomum (Mont.) Zahlbr.,"Mar. 28, 1970","Three Rivers State Park, near Snead, Jackson Co., Florida",,,"on smooth-barked tree,"
1558385,Coccocarpia erythroxyli (Spreng.) Swinse. & Krog,,"Seminole Co.: Wekiva Springs State Park, within a 120 ac hardwood/cypress swamp on the south side of Wekiva Springs Run. S. ¼ of sect. 30 and N. ¼ of sect 32; T20S, R29E.",,,Host tree: Acer rubrum (BD-06).
3512932,COCCOCARPIA CRONIA (Tuck. Vain.,24 August 1960,GREENWOOD CO.:ca. 11 miles NW of Fredonia;,,,oak woods and sandstone outcrops
1740735,COCCOCARPIA GAONIA (BUCK.) VAIN.,"26 July, 1973",MARION CO. Ocala National Foreat. North of 40-19 intersection in white aand scrub southeast of river bridge.,,90 ft,Plants on trunk.